"rules","support","confidence","lift"
"{potted plants} => {whole milk}",0.00691408235892222,0.4,1.56545961002786
"{pasta} => {whole milk}",0.00610066090493137,0.405405405405405,1.58661446962283
"{herbs} => {root vegetables}",0.00701576004067107,0.43125,3.95647737873134
"{herbs} => {other vegetables}",0.00772750381291307,0.475,2.45487388334209
"{herbs} => {whole milk}",0.00772750381291307,0.475,1.85898328690808
"{processed cheese} => {whole milk}",0.00701576004067107,0.423312883435583,1.65669805355709
"{semi-finished bread} => {whole milk}",0.00711743772241993,0.402298850574713,1.57445650433836
"{beverages} => {whole milk}",0.00681240467717336,0.26171875,1.02427533077994
"{detergent} => {other vegetables}",0.00640569395017794,0.333333333333333,1.72271851462603
"{detergent} => {whole milk}",0.00894763599389934,0.465608465608466,1.82222811749274
"{pickled vegetables} => {other vegetables}",0.00640569395017794,0.357954545454545,1.84996476854727
"{pickled vegetables} => {whole milk}",0.00711743772241993,0.397727272727273,1.5565649531527
"{baking powder} => {other vegetables}",0.00732079308591764,0.413793103448276,2.13854712160473
"{baking powder} => {whole milk}",0.00925266903914591,0.522988505747126,2.04679345563987
"{flour} => {other vegetables}",0.00630401626842908,0.362573099415205,1.87383417380375
"{flour} => {whole milk}",0.00843924758515506,0.485380116959064,1.89960742152503
"{soft cheese} => {other vegetables}",0.00711743772241993,0.416666666666667,2.15339814328254
"{soft cheese} => {whole milk}",0.00752414844941535,0.44047619047619,1.72386921342353
"{specialty bar} => {soda}",0.00721911540416879,0.263940520446097,1.51361808663986
"{misc. beverages} => {soda}",0.00732079308591764,0.258064516129032,1.47992100065833
"{grapes} => {tropical fruit}",0.00610066090493137,0.272727272727273,2.59910147991543
"{grapes} => {other vegetables}",0.0090493136756482,0.404545454545455,2.09075383365977
"{grapes} => {whole milk}",0.00732079308591764,0.327272727272727,1.28083059002279
"{cat food} => {yogurt}",0.00620233858668022,0.266375545851528,1.90947776490509
"{cat food} => {other vegetables}",0.00650737163192679,0.279475982532751,1.44437534850741
"{cat food} => {whole milk}",0.00884595831215048,0.379912663755459,1.48684482611816
"{specialty chocolate} => {whole milk}",0.00803253685815963,0.264214046822742,1.03404104675753
"{meat} => {rolls/buns}",0.00691408235892222,0.267716535433071,1.45549592370605
"{meat} => {other vegetables}",0.0099644128113879,0.385826771653543,1.99401276889784
"{meat} => {whole milk}",0.0099644128113879,0.385826771653543,1.50999056872766
"{frozen meals} => {other vegetables}",0.00752414844941535,0.265232974910394,1.37076526970243
"{frozen meals} => {whole milk}",0.00986273512963904,0.347670250896057,1.36065933846507
"{hard cheese} => {yogurt}",0.00640569395017794,0.261410788381743,1.87388855957321
"{hard cheese} => {other vegetables}",0.00945602440264362,0.385892116182573,1.99435047958781
"{hard cheese} => {whole milk}",0.0100660904931368,0.410788381742739,1.6076815497174
"{butter milk} => {yogurt}",0.00854092526690392,0.305454545454545,2.18961038961039
"{butter milk} => {rolls/buns}",0.00762582613116421,0.272727272727273,1.48273782602141
"{butter milk} => {other vegetables}",0.0103711235383833,0.370909090909091,1.9169158744566
"{butter milk} => {whole milk}",0.0115912557193696,0.414545454545455,1.62238541402887
"{candy} => {soda}",0.00864260294865277,0.289115646258503,1.65798972650285
